status,title,doi,authors,year,code,website,keywords,projects,selected
publish,Predicting Lung Cancer Survival with Attention-based CT Slices Combination,10.21203/rs.3.rs-5374277/v1,Domenico Paolo; Carlo Greco; Edy Ippolito; Michele Fiore; Sara Ramella; Paolo Soda; Matteo Tortora; Alessandro Bria; Rosa Sicilia,2024,,,radiomics; oncology; clinical prediction,,FALSE
publish,Multi input–Multi output 3D CNN for dementia severity assessment with incomplete multimodal data,10.1016/j.artmed.2024.102774,Michela Gravina; Ángel García‐Pedrero; Consuelo Gonzalo‐Martín; Carlo Sansone; Paolo Soda,2024,,,oncology; generative AI; multimodal learning,,FALSE
publish,Exploring Negated Entites for Named Entity Recognition in Italian Lung Cancer Clinical Reports,10.3233/shti240066,Domenico Paolo; Alessandro Bria; Carlo Greco; Marco Russano; Sara Ramella; Paolo Soda; Rosa Sicilia,2024,,,oncology; medical imaging,,FALSE
publish,Cross-Modality Calibration in Multi-Input Network for Axillary Lymph Node Metastasis Evaluation,10.1109/tai.2024.3397246,Michela Gravina; Domiziana Santucci; Ermanno Cordelli; Paolo Soda; Carlo Sansone,2024,,,radiomics; oncology; multimodal learning,,FALSE
publish,BodySLAM: A Generalized Monocular Visual SLAM Framework for Surgical Applications,10.48550/arxiv.2408.03078,Gianluca Manni; Clemente Lauretti; Francesco Prata; Rocco Papalia; Loredana Zollo; Paolo Soda,2024,,,medical imaging,,FALSE
publish,AI-based methodologies for exoskeleton-assisted rehabilitation of the lower limb: a review,10.3389/frobt.2024.1341580,Omar Coser; Christian Tamantini; Paolo Soda; Loredana Zollo,2024,,,medical imaging,,FALSE
publish,3102: NSCLC Electronic Health Records Analysis by Named Entity Recognition in Italian Clinical Reports,10.1016/s0167-8140(24)03166-9,A. Iurato; Edy Ippolito; Carlo Greco; Claudia Tacconi; Michele Fiore; M. Miele; L. Trodella; Vincenzo Davide Palumbo; Rosa Sicilia; Domenico Paolo; Paolo Soda; Sara Ramella,2024,,http://dx.doi.org/10.1016/s0167-8140(24)03166-9,oncology; medical imaging,,FALSE
publish,2597: Radiopathomics Model to Predict Early Response in LA-NSCLC Patients Undergoing Chemoradiation,10.1016/s0167-8140(24)02775-0,Carlo Greco; Edy Ippolito; Michele Fiore; A. Iurato; M. Miele; L. Trodella; Tacconi Claudia; Palumbo Vincenzo; Rosa Sicilia; Matteo Tortora; Paolo Soda; Sara Ramella,2024,,https://doi.org/10.1016/s0167-8140(24)02775-0,oncology; medical imaging,,FALSE
publish,142P AI-based approaches to predict early response in unresectable LA-NSCLC patients undergoing chemoradiation,10.1016/j.esmoop.2024.102729,Carlo Greco; Edy Ippolito; Michele Fiore; I. Aurelia; M. Miele; L. Trodella; C. Tacconi; Rosa Sicilia; Marianna Tortora; Paolo Soda; Sara Ramella,2024,,,radiomics; oncology; multimodal learning,,FALSE
publish,Stage I Stereotactic Body Radiation Therapy Outcome’s Prediction Models: Perfection Is the Enemy of Utility,10.1016/j.jtho.2023.01.005,Sara Ramella; Paolo Soda,2023,,,radiomics; oncology; clinical prediction,,FALSE
publish,Radiomic Machine-Learning Analysis of Multiparametric Magnetic Resonance Imaging in the Diagnosis of Clinically Significant Prostate Cancer: New Combination of Textural and Clinical Features,10.3390/curroncol30020157,Francesco Prata; Umberto Anceschi; Ermanno Cordelli; Eliodoro Faiella; Angelo Civitella; P. Tuzzolo; Andrea Iannuzzi; Alberto Ragusa; Francesco Esperto; Salvatore Mario Prata; Rosa Sicilia; Giovanni Muto; Rosario Francesco Grasso; Roberto Mario Scarpa; Paolo Soda; Giuseppe Simone; Rocco Papalia,2023,,,radiomics; oncology; medical imaging,,FALSE
publish,RadioPathomics: Multimodal Learning in Non-Small Cell Lung Cancer for Adaptive Radiotherapy,10.1109/access.2023.3275126,Matteo Tortora; Ermanno Cordelli; Rosa Sicilia; Lorenzo Nibid; Edy Ippolito; Giuseppe Perrone; Sara Ramella; Paolo Soda,2023,,,radiomics; oncology; multimodal learning,,FALSE
publish,Named Entity Recognition in Italian Lung Cancer Clinical Reports using Transformers,10.1109/bibm58861.2023.10385778,Domenico Paolo; Alessandro Bria; Carlo Greco; Marco Russano; Sara Ramella; Paolo Soda; Rosa Sicilia,2023,,https://doi.org/10.1109/bibm58861.2023.10385778,oncology; foundation models; medical imaging,,FALSE
publish,MATNet: Multi-Level Fusion Transformer-Based Model for Day-Ahead PV Generation Forecasting,10.48550/arxiv.2306.10356,Matteo Tortora; Francesco Conte; Gianluca Natrella; Paolo Soda,2023,,,foundation models; multimodal learning; medical imaging,,FALSE
publish,Exploring Early Stress Detection from Multimodal Time Series with Deep Reinforcement Learning,10.1109/bibm58861.2023.10385549,Leonardo Furia; Matteo Tortora; Paolo Soda; Rosa Sicilia,2023,,https://doi.org/10.1109/bibm58861.2023.10385549,multimodal learning; medical imaging,,FALSE
publish,Early Experiences on using Triplet Networks for Histological Subtype Classification in Non-Small Cell Lung Cancer,10.1109/cbms58004.2023.00328,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2023,,https://doi.org/10.1109/cbms58004.2023.00328,radiomics; oncology; medical imaging,,FALSE
publish,Deep pathomics: A new image-based tool for predicting response to treatment in stage III non-small cell lung cancer,10.1371/journal.pone.0294259,Lorenzo Nibid; Carlo Greco; Ermanno Cordelli; Giovanna Sabarese; Michele Fiore; Charles Z. Liu; Edy Ippolito; Rosa Sicilia; M. Miele; Matteo Tortora; Chiara Taffon; Mehrdad Rakaee; Paolo Soda; Sara Ramella; Giuseppe Perrone,2023,,,radiomics; oncology; medical imaging,,FALSE
publish,A Comparative Study Between Paired And Unpaired Image Quality Assessment In Low-Dose CT Denoising,10.1109/cbms58004.2023.00264,Francesco Di Feola; Lorenzo Tronchin; Paolo Soda,2023,,https://doi.org/10.1109/cbms58004.2023.00264,medical imaging,,FALSE
publish,A Cascade of Learners for Firemen’ Emergency Events Classification,10.1109/access.2023.3327913,Camillo Maria Caruso; Paolo Soda; Carlo Giammichele; Francesca Rotilio; Rosa Sicilia,2023,,,medical imaging,,FALSE
